322	595
685	210
664	235
448	869
681	269
446	906
982	242
357	721
952	494
854	790
944	242
165	255
125	779
69	620
319	355
363	863
404	216
113	861
670	352
235	665
259	535
342	266
510	931
220	711
909	1
808	335
207	244
123	445
153	922
839	530
622	62
36	631
869	795
558	58
145	395
69	224
984	327
987	244
674	439
23	18
204	685
719	102
195	432
497	975
408	22
102	940
521	449
985	668
992	552
550	405
561	922
758	318
512	285
17	428
74	958
462	435
440	355
702	569
18	689
242	451
330	810
205	183
295	753
13	780
11	690
233	682
111	654
623	879
62	268
405	733
930	718
743	886
71	739
490	695
332	539
639	678
959	539
785	649
242	933
430	924
532	499
827	250
148	489
446	742
361	605
400	807
121	415
656	670
808	209
162	230
190	182
512	116
668	61
838	259
415	553
381	83
704	872
789	614
705	124
117	821
18	964
241	157
341	205
328	98
991	550
349	613
637	861
845	355
242	101
962	478
840	962
262	875
144	182
363	253
689	526
491	892
209	495
798	122
803	331
73	801
162	841
677	947
245	289
866	291
563	691
709	695
118	73
750	22
148	648
124	229
298	158
641	695
334	332
987	760
822	759
790	48
333	132
509	944
270	975
401	592
473	105
592	773
404	304
282	157
130	733
287	373
276	153
660	584
505	474
666	641
21	550
463	720
958	468
112	36
556	334
497	645
806	506
18	834
190	367
921	762
621	660
957	240
63	978
537	453
130	69
7	780
933	408
158	174
405	653
377	524
707	510
139	621
231	662
456	891
964	100
79	267
575	191
829	947
912	918
305	759
240	815
956	813
562	129
169	653
769	68
970	512
915	347
751	35
251	516
798	810
497	234
380	105
218	522
224	841
737	509
543	353
767	34
279	430
86	650
879	634
830	635
269	729
600	46
410	234
6	767
598	736
23	340
142	288
195	277
814	490
704	664
447	698
213	116
920	108
743	299
66	35
169	94
245	591
864	795
403	569
167	773
146	551
169	579
967	562
576	538
921	330
235	904
199	977
848	561
622	478
884	824
123	368
942	687
375	964
712	755
619	360
287	284
945	101
507	436
871	395
711	110
136	623
791	417
382	94
351	681
668	320
139	314
466	829
650	463
71	560
841	693
969	137
86	993
246	391
295	792
294	652
316	233
100	85
931	399
412	94
35	695
446	340
755	924
935	219
921	498
397	37
152	268
890	864
374	39
310	372
17	642
712	46
84	906
321	847
33	840
851	116
564	35
786	403
460	851
886	571
565	608
374	562
250	1000
215	362
234	248
456	359
877	366
29	506
195	223
341	567
181	211
634	497
95	79
51	356
69	831
76	824
631	886
80	410
576	957
762	764
126	246
344	298
724	904
976	762
979	575
634	276
656	677
973	345
197	609
309	685
950	549
431	929
893	367
48	999
820	693
675	62
329	76
431	311
873	276
789	603
365	843
132	841
388	79
586	180
391	481
586	345
113	64
990	406
185	274
295	240
203	758
147	686
941	562
552	387
273	981
875	209
724	63
6	870
651	978
521	972
593	57
576	764
956	626
755	319
60	210
622	441
488	578
852	420
167	574
823	668
448	567
266	912
797	803
874	58
785	655
271	107
454	974
829	219
730	448
570	691
243	764
547	391
9	418
728	255
428	120
259	452
296	39
48	357
991	490
869	28
163	374
835	641
498	598
874	510
154	329
